,sm,wfm,mae
camourflage_01009,0.9634954870765555,0.9807529815166617,0.010160680529300567
camourflage_01014,0.13565332491720516,0.1275937493834901,0.7902320582732953
camourflage_01016,0.28278105151246713,0.36846680904318524,0.5743006993006993
camourflage_01018,0.12130407269875491,0.22056415083904649,0.7792117953988458
camourflage_01020,0.8037515367449002,0.8428844556412894,0.03486783486783487
camourflage_01021,0.5277974550819448,0.4985535228544611,0.13459553862030643
camourflage_01023,0.69101008517588,0.7966463453946059,0.17834078489816194
camourflage_01025,0.9119147828453541,0.9008690512138929,0.017634896019722453
camourflage_01027,0.8982896297995332,0.9251535418124889,0.04498949121624301
camourflage_01030,0.4033038729023864,0.5332806090422779,0.44470018651533794
camourflage_01032,0.6483119770614256,0.7461486452961752,0.22275211127670144
camourflage_01034,0.4217373056127391,0.0,0.1090617481956696
camourflage_01041,0.6095928362357386,0.5166164765876561,0.08763125
camourflage_01044,0.9556861738596306,0.95052764141211,0.0061204673038992565
camourflage_01046,0.7921583955706961,0.8090172563179943,0.053585887796414114
camourflage_01048,0.871883844616708,0.8608373041036486,0.05019711161890459
camourflage_01050,0.8099759339248377,0.8317185432341361,0.0788566503878196
camourflage_01052,0.8003743064508938,0.8816421295396373,0.0985683777849186
camourflage_01053,0.884525252508275,0.8548931393696064,0.017430555555555557
camourflage_01056,0.8941562858079128,0.8743994345482309,0.009195248003221693
camourflage_01058,0.9018598824435279,0.8988564296416902,0.014801587301587302
camourflage_01064,0.8049891176274058,0.9556322226141517,0.08169209431345353
camourflage_01066,0.5725025278549654,0.6340969112044674,0.2110515873015873
camourflage_01067,0.38019030908471474,0.035807792837653014,0.1952743720985597
camourflage_01068,0.6167533120930878,0.6738829304692535,0.05602696272799366
camourflage_01070,0.912181906713549,0.9205635537802452,0.031914471596318626
camourflage_01072,0.8348039740912339,0.8048552973861124,0.06701622477245746
camourflage_01074,0.70975335197875,0.6588037476444304,0.06964285714285715
camourflage_01075,0.9660748295563628,0.985178037935007,0.010636602661142538
camourflage_01078,0.8952245014639291,0.9417943489406853,0.05488325881768505
camourflage_01081,0.812122422097945,0.790341574857656,0.05369581658241452
camourflage_01082,0.6055573228258879,0.2979160748084383,0.17655109489051096
camourflage_01087,0.7413454368575527,0.7418897966767951,0.11793426484598285
camourflage_01090,0.8434579969421848,0.8634018334776751,0.025494287133631395
camourflage_01091,0.8909930148184981,0.8350651888940677,0.020499144210484415
camourflage_01094,0.8814956121645603,0.8891127304925625,0.039512048192771085
camourflage_01095,0.34490014026972693,0.0,0.2098585231885656
camourflage_01096,0.7733659114519094,0.8302879354081476,0.09908207590306356
camourflage_01098,0.9389876237389867,0.9373182905280897,0.01615454308134089
camourflage_01100,0.8181891453147728,0.7616337159499486,0.05609654017857143
camourflage_01101,0.8433496218295938,0.9050380131286259,0.06791669525835449
camourflage_01103,0.9539883742367492,0.9562335418128198,0.01040580489115829
camourflage_01104,0.8602174345184062,0.8245860383045377,0.029425078043704474
camourflage_01105,0.9521089188284457,0.9504046342215285,0.010240506622798247
camourflage_01106,0.9605082764334916,0.9605021558560688,0.0068538229353425776
camourflage_01107,0.9137075654843836,0.9474203849039253,0.04491481481481482
camourflage_01110,0.9053190887741014,0.9156325139358867,0.040958605664488015
camourflage_01112,0.9576617224547133,0.9686440330574385,0.008934859154929578
camourflage_01113,0.832072045987317,0.8171275837177231,0.006893191268191269
camourflage_01115,0.9020845979977106,0.8883392191179214,0.025036031295754026
camourflage_01116,0.9501356462038544,0.9579204281731155,0.015509620384815393
camourflage_01117,0.9690810631822359,0.9757078771987799,0.010461660392312265
camourflage_01118,0.953218586177327,0.9670561860525475,0.013974917632054416
camourflage_01122,0.9609832010735868,0.9538189000485127,0.0036902408050411522
camourflage_01126,0.2775819794041323,0.0005430630056059486,0.3042969394489358
camourflage_01128,0.9230865630400524,0.9137136075042348,0.011483333333333333
camourflage_01131,0.8694298446644237,0.8663987685943215,0.03641629006285388
camourflage_01132,0.9607243683698661,0.9613597066501103,0.006968878506946979
camourflage_01133,0.9610431015742743,0.9683542760346372,0.0009082512315270936
camourflage_01135,0.8354889153794964,0.8537485125925868,0.09498695652173914
camourflage_01137,0.9555726990942051,0.9706417899610437,0.008553059895833333
camourflage_01139,0.6433214537886747,0.6172508285016104,0.061061197916666664
camourflage_01140,0.8882994810236469,0.9073340447780114,0.04875420875420875
camourflage_01141,0.266287252058704,0.426382401082625,0.5568791946308724
camourflage_01143,0.9106224203680636,0.9759950577018739,0.023522222222222222
camourflage_01144,0.808743861651605,0.8599968979455779,0.10058970514742628
camourflage_01145,0.6586791948167048,0.6748775210054834,0.05
camourflage_01148,0.9043889951393085,0.8833124256181942,0.015080906148867314
camourflage_01150,0.943886454085928,0.9362094406950027,0.010959135427220533
camourflage_01151,0.9546885364210325,0.9548972138633,0.008912280701754385
camourflage_01154,0.603373537296165,0.6286217359552337,0.17814564780235564
camourflage_01156,0.6960819170675396,0.7454571404501242,0.18014603422328745
camourflage_01158,0.7973353770403122,0.862182755476952,0.11977401129943503
camourflage_01159,0.6984216313013517,0.7774418139902337,0.17338780274292384
camourflage_01161,0.8151553855239774,0.8253306774892418,0.0857637971040033
camourflage_01163,0.6317449847858861,0.6185406917122508,0.2574677953625322
camourflage_01164,0.5386403796325817,0.5693569512016807,0.18799781778505184
camourflage_01165,0.8352377371994095,0.8616803432125,0.054157523510971785
camourflage_01168,0.7344063812115276,0.7501512750801147,0.13522962962962962
camourflage_01170,0.33939858157117564,0.0,0.293466157639386
camourflage_01172,0.5518157226028124,0.5721029588185581,0.2624256837098692
camourflage_01175,0.7671285715183491,0.8200312164407989,0.13462452471482889
camourflage_01177,0.7004097016994099,0.6034338696549365,0.06431366317754782
camourflage_01179,0.8025143247864963,0.6592238751742385,0.07442110288851754
camourflage_01180,0.8331385181399804,0.8286693340808844,0.08385494287133631
camourflage_01181,0.8457153833687704,0.8707484468056979,0.0705727819129881
camourflage_01182,0.8038341528998477,0.8557341377671596,0.10593144560357676
camourflage_01183,0.8798938854570042,0.9104778310552006,0.0632900677200903
camourflage_01185,0.8285045739120019,0.6839013076527223,0.031274457958751986
camourflage_01188,0.9675729712090426,0.97057654119263,0.007875434027777777
camourflage_01189,0.9593152370034148,0.9553460887082145,0.006111044028194949
camourflage_01190,0.9308151251910538,0.9128501474950552,0.006710069444444445
camourflage_01192,0.8679457645513309,0.9012283917389573,0.027410579152058547
camourflage_01193,0.9024708022702832,0.9046340162251659,0.04286110324650812
camourflage_01194,0.9170969421553017,0.9367106340393659,0.011768353174603174
camourflage_01195,0.5383644670494319,0.39961565193332743,0.13659298601890182
camourflage_01196,0.8937973836113385,0.8952662087321867,0.0432628227279459
camourflage_01199,0.9705944905356609,0.9687260325469437,0.0031144465290806754
camourflage_01200,0.8494890193421291,0.8419837322766719,0.0082659170313083
camourflage_01205,0.7830923527651671,0.7781360400263326,0.026060956790123456
camourflage_01208,0.9524064387046276,0.95868315180963,0.013197096836419753
camourflage_01210,0.8737924719730686,0.8742534745831579,0.03752171395483497
camourflage_01211,0.9770194157364877,0.9847701448483734,0.004482037907072295
camourflage_01217,0.502535427296084,0.42580674808161184,0.202601409096594
camourflage_01235,0.8209320342205605,0.8670059486186282,0.059328
camourflage_01240,0.9581387298779367,0.9727239615805974,0.011900719540787452
camourflage_01242,0.9735278140933109,0.9706911172033632,0.003405176912639599
camourflage_01243,0.9785790646267306,0.9754857026986172,0.001458303261376325
camourflage_01244,0.9769644588745163,0.9840870809935176,0.0044
camourflage_01245,0.9582136700273836,0.9349721134202883,0.007331730769230769
camourflage_01247,0.9613431769488561,0.9671340931848991,0.006819630337794774
camourflage_01250,0.9620303567500614,0.9607273371443326,0.007066507066507067
CAMO_CogVLM_mean,0.8228970659350222,0.8099664118985035,0.07013008408642794
